userName,salutation,firstName,middleName,lastName,sex,regID,userType,DOB,religionId,casteId,isFromReservedCategory,isPhysicallyHandicapped,isEconomicallyBackward,birthPlace_city,birthPlace_state,birthPlace_country,languages_motherTongue,languages_others,profileImagePath,passportNumber,panNum,uid,visaDetails,softeDelete,accessList,hashPassword,resetPasswordCode,resetPasswordCodeUntil,createdAt,updatedAt,createdBy,updatedBy,className,section,isSMSEnabled,isEmailEnabled,contactUserId
Sudhir_Lot,Mr.,Sudhir,,Lot,M,1_F,3,11/04/1999,1,1,1,1,1,1,14,0,Hindi,English,,FF3399730,AMTPB4483H,UID1_F,VISA1_F,No,*,11/04/1999,,,,,,,,,true,true,1_F
Narendra_Parihar,Mr.,Narendra,,Parihar,M,2_F,3,11/06/ 2000,2,1,1,1,1,1,14,0,Hindi,English,,FF3399731,AMTPB4483H,UID2_F,VISA2_F,No,*,11/06/ 2000,,,,,,,,,true,true,2_F
Akilesh_Sharma,Mr.,Akilesh,,Sharma,M,3_F,3,16/08/1999,3,1,1,1,1,1,14,0,Hindi,English,,FF3399732,AMTPB4483H,UID3_F,VISA3_F,No,*,16/08/1999,,,,,,,,,true,true,3_F
Sunil_Peter,Mr.,Sunil,,Peter,M,4_F,3,30/07/1999,4,1,1,1,1,1,14,0,Hindi,English,,FF3399733,AMTPB4483H,UID4_F,VISA4_F,No,*,30/07/1999,,,,,,,,,true,true,4_F
Pawan_Agrawal,Mr.,Pawan,,Agrawal,M,5_F,3,22/02/1999,1,1,1,1,1,1,14,0,Hindi,English,,FF3399734,AMTPB4483H,UID5_F,VISA5_F,No,*,22/02/1999,,,,,,,,,true,true,5_F
Apoorv_Dubey,Mr.,Apoorv,,Dubey,M,6_F,3,12/08/1999,2,1,1,1,1,1,14,0,Hindi,English,,FF3399735,AMTPB4483H,UID6_F,VISA6_F,No,*,12/08/1999,,,,,,,,,true,true,6_F
Shrish_Yadav,Mr.,Shrish,,Yadav,M,7_F,3,04/08/1999,3,1,1,1,1,1,14,0,Hindi,English,,FF3399736,AMTPB4483H,UID7_F,VISA7_F,No,*,04/08/1999,,,,,,,,,true,true,7_F
S.M.Irshad_,Mr.,S.M.Irshad,,,M,8_F,3,07/12/1998,4,1,1,1,1,1,14,0,Hindi,English,,FF3399737,AMTPB4483H,UID8_F,VISA8_F,No,*,07/12/1998,,,,,,,,,true,true,8_F
Naseem_Siddiqui,Mr.,Naseem,Ahmed,Siddiqui,M,9_F,3,24/07/1999,1,1,1,1,1,1,14,0,Hindi,English,,FF3399738,AMTPB4483H,UID9_F,VISA9_F,No,*,24/07/1999,,,,,,,,,true,true,9_F
Atul_Dua,Mr.,Atul,,Dua,M,10_F,3,29/07/1999,2,1,1,1,1,1,14,0,Hindi,English,,FF3399739,AMTPB4483H,UID10_F,VISA10_F,No,*,29/07/1999,,,,,,,,,true,true,10_F
Kiran_Manjrekar,Mr.,Kiran,,Manjrekar,M,11_F,3,18/03/1999,3,1,1,1,1,1,14,0,Hindi,English,,FF3399740,AMTPB4483H,UID11_F,VISA11_F,No,*,18/03/1999,,,,,,,,,true,true,11_F
Dr.Mukesh_Shrivasta,Mr.,Dr.Mukesh,,Shrivasta,M,12_F,3,06/07/1999,4,1,1,1,1,1,14,0,Hindi,English,,FF3399741,AMTPB4483H,UID12_F,VISA12_F,No,*,06/07/1999,,,,,,,,,true,true,12_F
Jagdish_Parihar,Mr.,Jagdish,,Parihar,M,13_F,3,02/08/1999,1,1,1,1,1,1,14,0,Hindi,English,,FF3399742,AMTPB4483H,UID13_F,VISA13_F,No,*,02/08/1999,,,,,,,,,true,true,13_F
Rakesh_Joshi,Mr.,Rakesh,,Joshi,M,14_F,3,22/02/1998,2,1,1,1,1,1,14,0,Hindi,English,,FF3399743,AMTPB4483H,UID14_F,VISA14_F,No,*,22/02/1998,,,,,,,,,true,true,14_F
Anil_Shrivastva,Mr.,Anil,,Shrivastva,M,15_F,3,08/12/1999,3,1,1,1,1,1,14,0,Hindi,English,,FF3399744,AMTPB4483H,UID15_F,VISA15_F,No,*,08/12/1999,,,,,,,,,true,true,15_F
Mahesh_Pardeshi,Mr.,Mahesh,,Pardeshi,M,16_F,3,26/12/1999,4,1,1,1,1,1,14,0,Hindi,English,,FF3399745,AMTPB4483H,UID16_F,VISA16_F,No,*,26/12/1999,,,,,,,,,true,true,16_F
